Player_ID,Player_Name,Age,Gender,Skill_Level,Sport,City,Neighborhood,Available_Days,Available_Times,Hours_Available,Competitive_Level
ID_10000,فاطمة القرشي,41,أنثى,متقدم,تنس,جدة,الحمراء,"الخميس, الأحد","صباحًا, ظهرًا, مساءً",2,احترافي
ID_10001,رزان الهاجري,20,ذكر,متقدم,كرة القدم,جدة,النسيم,السبت,عصرًا,3,تنافسي
ID_10002,نورة المالكي,40,ذكر,مبتدئ,سلة,الخبر,الخبر الشمالية,"الأربعاء, الاثنين","مساءً, ليلاً, ظهرًا",3,احترافي
ID_10003,ماجد الخثعمي,26,ذكر,محترف,تنس طاولة,الرياض,السويدي,"الثلاثاء, الأحد, السبت, الأربعاء",صباحًا,3,احترافي
ID_10004,نورة العسيري,23,أنثى,متوسط,كرة القدم,الدمام,الخليج,السبت,صباحًا,4,تنافسي
ID_10005,محمد الدوسري,40,أنثى,متقدم,تنس طاولة,الدمام,الجامعيين,"الأحد, السبت","عصرًا, ليلاً, مساءً",2,تنافسي
ID_10006,علي الشمراني,36,أنثى,مبتدئ,كرة الطائرة,الرياض,اليرموك,"السبت, الجمعة","عصرًا, ظهرًا",3,تنافسي
ID_10007,مها السبيعي,20,ذكر,محترف,سلة,الخبر,العقربية,الأربعاء,"صباحًا, ظهرًا, مساءً",1,احترافي
ID_10008,ياسر العتيبي,18,ذكر,متوسط,تنس,الطائف,الوسام,"الأربعاء, الثلاثاء, الاثنين",عصرًا,5,احترافي
ID_10009,ريم الحربي,25,أنثى,محترف,سكواش,أبها,السروات,السبت,"عصرًا, ليلاً",1,احترافي
ID_10010,شهد القرشي,26,ذكر,متقدم,بادل,الدمام,الريان,"الجمعة, الخميس, الأربعاء","ليلاً, ظهرًا, مساءً",3,تنافسي
ID_10011,فهد الشمراني,36,ذكر,متقدم,تنس,جدة,الصفا,"الأربعاء, السبت, الخميس, الجمعة","مساءً, عصرًا, ليلاً",3,ودي
ID_10012,أحمد الخثعمي,39,أنثى,محترف,تنس,بريدة,الريان,الاثنين,"عصرًا, صباحًا, ظهرًا",2,احترافي
ID_10013,شهد الحربي,24,أنثى,متوسط,سكواش,بريدة,الرابية,"الخميس, الاثنين, الثلاثاء",ظهرًا,2,ودي
ID_10014,بدر الخثعمي,39,ذكر,متوسط,بادل,تبوك,الشمال,"الأربعاء, السبت, الخميس, الثلاثاء","صباحًا, ظهرًا",2,ودي
ID_10015,حسن الحربي,36,ذكر,متقدم,تنس,تبوك,الفيصلية,الاثنين,"ليلاً, ظهرًا, عصرًا",3,ودي
ID_10016,ناصر الشمري,23,أنثى,محترف,تنس,أبها,المروج,السبت,"ظهرًا, ليلاً, عصرًا",4,احترافي
ID_10017,حسن القحطاني,38,ذكر,مبتدئ,سلة,بريدة,النهضة,"الخميس, الجمعة, السبت","مساءً, عصرًا, صباحًا",1,احترافي
ID_10018,رزان العتيبي,37,أنثى,محترف,سلة,الطائف,قروى,"الثلاثاء, السبت","ظهرًا, ليلاً, صباحًا",4,احترافي
ID_10019,بدر العسيري,22,أنثى,محترف,بادل,الدمام,الريان,"الثلاثاء, الأربعاء, الاثنين, الجمعة","صباحًا, عصرًا, مساءً",3,ودي
ID_10020,ياسر الحربي,35,ذكر,مبتدئ,سلة,أبها,الخالدية,"الاثنين, الخميس","مساءً, ظهرًا",4,احترافي
ID_10021,سلمان الحربي,36,أنثى,مبتدئ,كرة الطائرة,الخبر,العقربية,الجمعة,"ليلاً, مساءً",3,احترافي
ID_10022,جمال الغامدي,39,أنثى,متقدم,سلة,أبها,الخالدية,"الخميس, الثلاثاء, الاثنين","ظهرًا, عصرًا, مساءً",2,تنافسي
